competition_level,simulation_id,policy,efficiency_score,overall_match_rate,total_rounds,policy_matches,policy_unmatches,policy_total_agents,policy_match_rate,avg_quality,avg_rounds_matched,avg_rounds_all
Competition 0.5,13,Threshold_6,0.9228662235672922,1.0,40,5,0,5,1.0,8.600473869875591,2.6,2.6
Competition 0.5,13,Threshold_8,0.9228662235672922,1.0,40,5,0,5,1.0,8.91258670741261,2.6,2.6
Competition 0.5,13,Optimal_Stopping,0.9228662235672922,1.0,40,5,0,5,1.0,6.330568045331638,21.6,21.6
Competition 0.5,14,Greedy,0.8430114526520018,1.0,40,5,0,5,1.0,5.827230453012207,1.0,1.0
Competition 0.5,14,Threshold_6,0.8430114526520018,1.0,40,5,0,5,1.0,8.08505412390841,3.4,3.4
Competition 0.5,14,Threshold_8,0.8430114526520018,1.0,40,5,0,5,1.0,7.713733211459209,10.4,10.4
Competition 0.5,14,Optimal_Stopping,0.8430114526520018,1.0,40,5,0,5,1.0,5.953707433000501,33.2,33.2
Competition 0.5,15,Greedy,0.8352878944014617,1.0,40,5,0,5,1.0,4.655157182495573,1.0,1.0
Competition 0.5,15,Threshold_6,0.8352878944014617,1.0,40,5,0,5,1.0,7.345832267367169,2.8,2.8
Competition 0.5,15,Threshold_8,0.8352878944014617,1.0,40,5,0,5,1.0,9.284888107833783,4.2,4.2
Competition 0.5,15,Optimal_Stopping,0.8352878944014617,1.0,40,5,0,5,1.0,4.401728787395942,40.0,40.0
Competition 0.5,16,Greedy,0.8894762979526308,1.0,40,5,0,5,1.0,6.783286854009238,1.0,1.0
Competition 0.5,16,Threshold_6,0.8894762979526308,1.0,40,5,0,5,1.0,7.986736915308631,2.2,2.2
Competition 0.5,16,Threshold_8,0.8894762979526308,1.0,40,5,0,5,1.0,8.072867678802146,11.2,11.2
Competition 0.5,16,Optimal_Stopping,0.8894762979526308,1.0,40,5,0,5,1.0,5.375379583749279,30.0,30.0
Competition 0.5,17,Greedy,0.9204016862160473,1.0,40,5,0,5,1.0,5.441384917666379,1.0,1.0
Competition 0.5,17,Threshold_6,0.9204016862160473,1.0,40,5,0,5,1.0,9.025444612645966,2.2,2.2
Competition 0.5,17,Threshold_8,0.9204016862160473,1.0,40,5,0,5,1.0,8.884654657103368,10.4,10.4
Competition 0.5,17,Optimal_Stopping,0.9204016862160473,1.0,40,5,0,5,1.0,5.741938150074992,20.0,20.0
Competition 0.5,18,Greedy,0.891708106212445,1.0,40,5,0,5,1.0,5.521195776327043,1.0,1.0
Competition 0.5,18,Threshold_6,0.891708106212445,1.0,40,5,0,5,1.0,9.089941583381709,1.0,1.0
Competition 0.5,18,Threshold_8,0.891708106212445,1.0,40,5,0,5,1.0,7.988577131113554,11.4,11.4
Competition 0.5,18,Optimal_Stopping,0.891708106212445,1.0,40,5,0,5,1.0,6.679815057521251,19.6,19.6
Competition 0.5,19,Greedy,0.9198266673737642,1.0,40,5,0,5,1.0,7.424278513641222,1.0,1.0
Competition 0.5,19,Threshold_6,0.9198266673737642,1.0,40,5,0,5,1.0,7.567240240012845,4.6,4.6
Competition 0.5,19,Threshold_8,0.9198266673737642,1.0,40,5,0,5,1.0,6.290344723803815,18.4,18.4
Competition 0.5,19,Optimal_Stopping,0.9198266673737642,1.0,40,5,0,5,1.0,6.439963897250552,18.2,18.2
Competition 0.5,20,Greedy,0.9425211806590734,1.0,40,5,0,5,1.0,6.494824733932724,1.0,1.0
Competition 0.5,20,Threshold_6,0.9425211806590734,1.0,40,5,0,5,1.0,7.31320704313684,2.8,2.8
Competition 0.5,20,Threshold_8,0.9425211806590734,1.0,40,5,0,5,1.0,8.864638596281123,7.8,7.8
Competition 0.5,20,Optimal_Stopping,0.9425211806590734,1.0,40,5,0,5,1.0,7.449503766017886,22.4,22.4
Competition 0.5,21,Greedy,0.8924978356234283,1.0,40,5,0,5,1.0,7.775197803128608,1.0,1.0
Competition 0.5,21,Threshold_6,0.8924978356234283,1.0,40,5,0,5,1.0,7.746274778157016,2.2,2.2
Competition 0.5,21,Threshold_8,0.8924978356234283,1.0,40,5,0,5,1.0,8.127212823680818,15.0,15.0
Competition 0.5,21,Optimal_Stopping,0.8924978356234283,1.0,40,5,0,5,1.0,5.286341364893229,27.0,27.0
Competition 0.5,22,Greedy,0.9233186480340255,1.0,40,5,0,5,1.0,6.8307039926813875,1.0,1.0
Competition 0.5,22,Threshold_6,0.9233186480340255,1.0,40,5,0,5,1.0,8.589281454590424,3.0,3.0
Competition 0.5,22,Threshold_8,0.9233186480340255,1.0,40,5,0,5,1.0,9.161926055810346,1.8,1.8
Competition 0.5,22,Optimal_Stopping,0.9233186480340255,1.0,40,5,0,5,1.0,7.026126529723909,27.4,27.4
Competition 0.5,23,Greedy,0.8998818229313681,1.0,40,5,0,5,1.0,5.462115708904358,1.0,1.0
Competition 0.5,23,Threshold_6,0.8998818229313681,1.0,40,5,0,5,1.0,8.121984718591914,1.4,1.4
Competition 0.5,23,Threshold_8,0.8998818229313681,1.0,40,5,0,5,1.0,8.195875998987185,12.0,12.0
Competition 0.5,23,Optimal_Stopping,0.8998818229313681,1.0,40,5,0,5,1.0,6.1370205573821215,28.0,28.0
Competition 0.5,24,Greedy,0.898781785978234,1.0,40,5,0,5,1.0,5.087429031951966,1.0,1.0
Competition 0.5,24,Threshold_6,0.898781785978234,1.0,40,5,0,5,1.0,7.5041654985122275,2.8,2.8
Competition 0.5,24,Threshold_8,0.898781785978234,1.0,40,5,0,5,1.0,8.663340541121297,2.6,2.6
Competition 0.5,24,Optimal_Stopping,0.898781785978234,1.0,40,5,0,5,1.0,6.332719339863914,34.2,34.2
Competition 0.5,25,Greedy,0.8970554040787618,1.0,40,5,0,5,1.0,4.88354696774617,1.0,1.0
Competition 0.5,25,Threshold_6,0.8970554040787618,1.0,40,5,0,5,1.0,8.481390673539376,2.2,2.2
Competition 0.5,25,Threshold_8,0.8970554040787618,1.0,40,5,0,5,1.0,9.028350579579616,12.4,12.4
Competition 0.5,25,Optimal_Stopping,0.8970554040787618,1.0,40,5,0,5,1.0,6.599001104907811,28.2,28.2
Competition 0.5,26,Greedy,0.9487468401081434,1.0,40,5,0,5,1.0,7.165017187475146,1.0,1.0
